2026-05-10 14:32:06,579 | INFO     | scraper |     ✅ NEW  : Junior Underwriting Officer
2026-05-10 14:32:06,608 | INFO     | scraper |     ✅ NEW  : የፋይናንስ ዩኒት ኃላፊ – Head Finance Unit – For Jerr Integrated Food Park
2026-05-10 14:32:06,631 | INFO     | scraper |     ✅ NEW  : Senior E-Banking Officer
2026-05-10 14:32:06,657 | INFO     | scraper |     ✅ NEW  : Senior Technical Trainer
2026-05-10 14:32:09,092 | INFO     | scraper |   Web done — New: 10 | Dup: 260
2026-05-10 14:32:09,637 | INFO     | telethon.crypto.libssl | Failed to load SSL library: <class 'OSError'> (no library called "ssl" found)
2026-05-10 14:32:09,638 | INFO     | telethon.crypto.aes | cryptg module not installed and libssl not found, falling back to (slower) Python encryption
2026-05-10 14:32:09,918 | INFO     | telethon.network.mtprotosender | Connecting to 149.154.167.91:443/TcpFull...
2026-05-10 14:32:10,076 | INFO     | telethon.network.mtprotosender | Connection to 149.154.167.91:443/TcpFull complete!
2026-05-10 14:32:11,225 | INFO     | scraper |   [TG] Scanning @freelance_ethio (last 100 msgs)…
2026-05-10 14:32:12,067 | INFO     | scraper |     ✅ NEW TG: በአዲስ አበባ ለሚገኙ ስራ ፈላጊዎች ልዩ ዝግጅት እየቀረፅን ነው! 🎥🇪🇹✨
2026-05-10 14:32:12,090 | INFO     | scraper |     ✅ NEW TG: Job Title: **Social Media Manager**
2026-05-10 14:32:12,110 | INFO     | scraper |     ✅ NEW TG: Job Title: **Senior Accountant**
2026-05-10 14:32:12,127 | INFO     | scraper |     ✅ NEW TG: Job Title: **Senior short form editor**
2026-05-10 14:32:12,145 | INFO     | scraper |     ✅ NEW TG: Job Title: **Executive Secretary**
2026-05-10 14:32:12,162 | INFO     | scraper |     ✅ NEW TG: Job Title: **Garment Pattern maker**
2026-05-10 14:32:12,179 | INFO     | scraper |     ✅ NEW TG: Job Title: **Driver (ሹፌር)**
2026-05-10 14:32:12,197 | INFO     | scraper |     ✅ NEW TG: Job Title: **Accountant and Admin Assistant**
2026-05-10 14:32:12,214 | INFO     | scraper |     ✅ NEW TG: Job Title: **Document Control Officer**
2026-05-10 14:32:12,234 | INFO     | scraper |     ✅ NEW TG: Job Title: **Sales**
2026-05-10 14:32:12,251 | INFO     | scraper |     ✅ NEW TG: Job Title: **cashier sales**
2026-05-10 14:32:12,268 | INFO     | scraper |     ✅ NEW TG: Job Title: **EV Diagnosis Specialist**
2026-05-10 14:32:12,286 | INFO     | scraper |     ✅ NEW TG: Job Title: **Upwork Account Manager**
2026-05-10 14:32:12,302 | INFO     | scraper |     ✅ NEW TG: Job Title: **Junior Finance**
2026-05-10 14:32:12,320 | INFO     | scraper |     ✅ NEW TG: Job Title: **Sales**
2026-05-10 14:32:12,337 | INFO     | scraper |     ✅ NEW TG: Job Title: **Marketing and sales manager**
2026-05-10 14:32:12,355 | INFO     | scraper |     ✅ NEW TG: Job Title: **Sales representative**
2026-05-10 14:32:12,371 | INFO     | scraper |     ✅ NEW TG: Job Title: **Liaison Officer**
2026-05-10 14:32:12,387 | INFO     | scraper |     ✅ NEW TG: Job Title: **Junior Accountant**
